tile,NDVI_count,NDVI_mean,NDVI_stdev,NDVI_min,NDVI_max
tile_282300_1550800.las,100.000000000000000,0.578634600043297,0.034121776238714,0.424958676099777,0.634162425994873
tile_282300_1550900.las,100.000000000000000,0.573111926913261,0.056582420725122,0.451365590095520,0.734361171722412
tile_282300_1551000.las,100.000000000000000,0.652926854491234,0.051347556841879,0.557045221328735,0.768170416355133
tile_282300_1551100.las,100.000000000000000,0.717271415591240,0.028244683424396,0.611971020698547,0.767058491706848
tile_282300_1551200.las,100.000000000000000,0.704884980320930,0.035321506435522,0.632421553134918,0.758412361145020
tile_282300_1551300.las,100.000000000000000,0.686065304875374,0.039636208840012,0.607879102230072,0.765430510044098
tile_282300_1551400.las,100.000000000000000,0.680580092370510,0.071791828673372,0.434684604406357,0.764006674289703
tile_282300_1551500.las,100.000000000000000,0.725407651662827,0.024655639223399,0.646716356277466,0.763254225254059
tile_282300_1551600.las,100.000000000000000,0.704669578075409,0.033583705675793,0.605407893657684,0.764248728752136
tile_282300_1551700.las,100.000000000000000,0.715960419774055,0.021281376187649,0.629580557346344,0.756226062774658
tile_282300_1551800.las,100.000000000000000,0.674021075963974,0.034063908006939,0.528825581073761,0.722646057605743
tile_282300_1551900.las,100.000000000000000,0.670364894866943,0.042151297266980,0.542411863803864,0.764846384525299
tile_282400_1550000.las,100.000000000000000,0.501828448474407,0.053442382230983,0.358811706304550,0.588475108146667
tile_282400_1550100.las,100.000000000000000,0.483138660192490,0.076377340658512,0.345616012811661,0.591523587703705
tile_282400_1550200.las,100.000000000000000,0.444768743515015,0.047264980416564,0.358465343713760,0.569619357585907
tile_282400_1550300.las,100.000000000000000,0.551855909526348,0.052469746533126,0.406451642513275,0.629225075244904
tile_282400_1550400.las,100.000000000000000,0.539789057672024,0.038059279245525,0.447811424732208,0.609564065933228
tile_282400_1550500.las,100.000000000000000,0.589902378618717,0.059795742102251,0.439379572868347,0.723613619804382
tile_282400_1550600.las,100.000000000000000,0.706278399825096,0.028345828459209,0.615293681621552,0.752390801906586
tile_282400_1550700.las,100.000000000000000,0.676255407333374,0.048394000153882,0.588729023933411,0.774495720863342
tile_282400_1550800.las,100.000000000000000,0.661692047715187,0.054582864623675,0.541065573692322,0.754272103309631
tile_282400_1550900.las,100.000000000000000,0.718185808062553,0.033629790189409,0.599265277385712,0.769265532493591
tile_282400_1551000.las,100.000000000000000,0.697917595505714,0.036765460711996,0.600419580936432,0.765843808650970
tile_282400_1551100.las,100.000000000000000,0.678354638814926,0.036310466959727,0.573906421661377,0.739218354225159
tile_282400_1551200.las,100.000000000000000,0.630774051547050,0.050711266827701,0.496062546968460,0.748849093914032
tile_282400_1551300.las,100.000000000000000,0.567397801876068,0.068290232465130,0.392365038394928,0.691010892391205
tile_282400_1551400.las,100.000000000000000,0.641009032726288,0.067598936038288,0.488005012273788,0.760995686054230
tile_282400_1551500.las,100.000000000000000,0.727064227461815,0.027164352051035,0.664332389831543,0.774678349494934
tile_282400_1551600.las,100.000000000000000,0.710451548099518,0.022463754476694,0.671776235103607,0.762842714786530
tile_282400_1551700.las,100.000000000000000,0.719460832476616,0.028758549926728,0.637395024299622,0.772403061389923
tile_282400_1551800.las,100.000000000000000,0.702348207831383,0.046501707809667,0.516758084297180,0.758256793022156
tile_282400_1551900.las,100.000000000000000,0.672194845080376,0.083851004644720,0.434578567743301,0.771761000156403
tile_282500_1550000.las,100.000000000000000,0.555288291573524,0.028144722723133,0.488315969705582,0.607112407684326
tile_282500_1550100.las,100.000000000000000,0.560237468779087,0.043410732447027,0.402456104755402,0.608679473400116
tile_282500_1550200.las,100.000000000000000,0.463620505928993,0.059951729370987,0.332940518856049,0.608994543552399
tile_282500_1550300.las,100.000000000000000,0.566550981998444,0.056624028922874,0.401393443346024,0.623742580413818
tile_282500_1550400.las,100.000000000000000,0.566054690480232,0.026792208824636,0.501745700836182,0.612702727317810
tile_282500_1550500.las,100.000000000000000,0.610237902998924,0.064703943654103,0.437473386526108,0.743425607681274
tile_282500_1550600.las,100.000000000000000,0.677234687209129,0.033329830868716,0.586930871009827,0.750417709350586
tile_282500_1550700.las,100.000000000000000,0.713341850638390,0.025320565633708,0.646546006202698,0.765377104282379
tile_282500_1550800.las,100.000000000000000,0.707170639634132,0.027659481942056,0.638562560081482,0.760994791984558
tile_282500_1550900.las,100.000000000000000,0.712666920423508,0.045995281146206,0.502012968063354,0.752452909946442
tile_282500_1551000.las,100.000000000000000,0.667409229576588,0.056414777264486,0.445995301008224,0.745712637901306
tile_282500_1551100.las,100.000000000000000,0.551662188768387,0.081766423108826,0.380491256713867,0.682827830314636
tile_282500_1551200.las,100.000000000000000,0.556953734159470,0.070412503523705,0.317494243383408,0.640371799468994
tile_282500_1551300.las,100.000000000000000,0.598044751584530,0.067212367639321,0.415821135044098,0.695968508720398
tile_282500_1551400.las,100.000000000000000,0.635880227386951,0.062361006188741,0.460598975419998,0.770049571990967
tile_282500_1551500.las,100.000000000000000,0.725675317049026,0.033548673542602,0.636443138122559,0.783254921436310
tile_282500_1551600.las,100.000000000000000,0.738614571690559,0.025822069671265,0.654757499694824,0.780165910720825
tile_282500_1551700.las,100.000000000000000,0.734363325238228,0.033794534653902,0.638191401958466,0.784044265747070
tile_282500_1551800.las,100.000000000000000,0.694120186567307,0.021071876661654,0.627189457416534,0.738806307315826
tile_282500_1551900.las,100.000000000000000,0.662644053697586,0.053312886452420,0.461709260940552,0.751401305198669
tile_282600_1550000.las,100.000000000000000,0.529411410391331,0.056854291125419,0.418306559324265,0.607122957706451
tile_282600_1550100.las,100.000000000000000,0.572978156805038,0.023503123845997,0.523858547210693,0.628929913043976
tile_282600_1550200.las,100.000000000000000,0.552880273163319,0.050293646297193,0.399761468172073,0.617872059345245
tile_282600_1550300.las,100.000000000000000,0.486568079888821,0.056508729313744,0.351217985153198,0.607558667659760
tile_282600_1550400.las,100.000000000000000,0.545547678470612,0.034825295097751,0.447853475809097,0.622967541217804
tile_282600_1550500.las,100.000000000000000,0.651832970380783,0.056224422113391,0.549835264682770,0.744230508804321
tile_282600_1550600.las,100.000000000000000,0.688258879184723,0.062065597513246,0.500320971012115,0.766835153102875
tile_282600_1550700.las,100.000000000000000,0.674122483432293,0.073373029373413,0.443745762109756,0.757925450801849
tile_282600_1550800.las,100.000000000000000,0.667632005512714,0.089567704501060,0.378199428319931,0.738869607448578
tile_282600_1550900.las,100.000000000000000,0.694081281721592,0.055934009583902,0.458687126636505,0.743023574352264
tile_282600_1551000.las,100.000000000000000,0.602219845652580,0.082760438013814,0.411246269941330,0.728662073612213
tile_282600_1551100.las,100.000000000000000,0.442634542882442,0.108701104073559,0.264236807823181,0.641722261905670
tile_282600_1551200.las,100.000000000000000,0.368233080655336,0.089830211964613,0.213153660297394,0.579832911491394
tile_282600_1551300.las,100.000000000000000,0.554148418754339,0.138505648729973,0.208848312497139,0.717721641063690
tile_282600_1551400.las,100.000000000000000,0.576602262556553,0.115137096578819,0.300226897001266,0.730709791183472
tile_282600_1551500.las,100.000000000000000,0.699131204485893,0.060802875697034,0.529136478900909,0.780648946762085
tile_282600_1551600.las,100.000000000000000,0.678362269401550,0.044788488661931,0.529423177242279,0.756577968597412
tile_282600_1551700.las,100.000000000000000,0.645626600384712,0.045635909961120,0.518393456935883,0.738137066364288
tile_282600_1551800.las,100.000000000000000,0.620009998083115,0.045253786582349,0.505594491958618,0.709930896759033
tile_282600_1551900.las,100.000000000000000,0.601371600031853,0.050523669397254,0.492271274328232,0.725860655307770
