tile,occupied_voxels,total_voxels,voxel_occupancy_ratio,understory_veg_returns,ground_returns,fractional_cover,understory_returns,first_returns,normalized_cover,lad_0.5_3.5m,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh
tile_282500_1550000.las,14944,67200,0.2224,35266,5803,0.8587,35266,149219,0.2363,2.5572,121924,149219,0.8171
tile_282500_1550100.las,13392,78400,0.1708,26442,5099,0.8383,26442,159934,0.1653,3.0074,138829,159934,0.868
tile_282500_1550200.las,16962,78400,0.2164,34030,8190,0.806,34030,112663,0.3021,2.2105,76397,112663,0.6781
tile_282500_1550300.las,19163,78400,0.2444,50216,7376,0.8719,50216,159994,0.3139,2.0518,122333,159994,0.7646
tile_282500_1550400.las,27131,78400,0.3461,87209,9175,0.9048,87209,200694,0.4345,1.6359,137433,200694,0.6848
tile_282500_1550500.las,25304,78400,0.3228,77920,9515,0.8912,77920,158783,0.4907,1.4366,93501,158783,0.5889
tile_282500_1550600.las,18997,78400,0.2423,36466,6530,0.8481,36466,95238,0.3829,1.7333,67077,95238,0.7043
tile_282500_1550700.las,20863,78400,0.2661,54252,6553,0.8922,54252,147547,0.3677,1.8375,113352,147547,0.7682
tile_282500_1550800.las,12766,78400,0.1628,28127,3330,0.8941,28127,166098,0.1693,2.7655,153123,166098,0.9219
tile_282500_1550900.las,20260,78400,0.2584,49360,6675,0.8809,49360,147833,0.3339,2.1181,108978,147833,0.7372
tile_282500_1551000.las,20355,78400,0.2596,41772,7276,0.8517,41772,104646,0.3992,1.8001,65977,104646,0.6305
tile_282500_1551100.las,29438,78400,0.3755,88848,9496,0.9034,88848,153617,0.5784,1.1993,77401,153617,0.5039
tile_282500_1551200.las,27634,78400,0.3525,84735,7981,0.9139,84735,179529,0.472,1.5926,118486,179529,0.66
tile_282500_1551300.las,21787,78400,0.2779,55662,6245,0.8991,55662,138441,0.4021,1.8229,99852,138441,0.7213
tile_282500_1551400.las,13644,78400,0.174,29453,5908,0.8329,29453,115024,0.2561,2.4311,88807,115024,0.7721
tile_282500_1551500.las,16068,78400,0.2049,40471,6853,0.8552,40471,168551,0.2401,2.5632,132475,168551,0.786
tile_282500_1551600.las,11845,78400,0.1511,27326,3058,0.8994,27326,167164,0.1635,2.7912,155211,167164,0.9285
tile_282500_1551700.las,12110,78400,0.1545,24040,2890,0.8927,24040,123709,0.1943,2.5647,113336,123709,0.9161
tile_282500_1551800.las,16388,78400,0.209,37751,3751,0.9096,37751,115001,0.3283,1.9603,97609,115001,0.8488
tile_282500_1551900.las,19903,67200,0.2962,54430,5909,0.9021,54430,134192,0.4056,1.7107,103476,134192,0.7711
tile_282600_1550000.las,11962,67200,0.178,25746,5273,0.83,25746,139641,0.1844,2.7754,119220,139641,0.8538
tile_282600_1550100.las,10503,78400,0.134,21032,2915,0.8783,21032,200583,0.1049,3.2322,193714,200583,0.9658
tile_282600_1550200.las,16089,78400,0.2052,33291,8067,0.8049,33291,135998,0.2448,2.4271,102873,135998,0.7564
tile_282600_1550300.las,23207,78400,0.296,58103,12229,0.8261,58103,132424,0.4388,1.5435,71012,132424,0.5362
tile_282600_1550400.las,25549,78400,0.3259,80806,9078,0.899,80806,189356,0.4267,1.6944,125904,189356,0.6649
tile_282600_1550500.las,21856,78400,0.2788,64828,7428,0.8972,64828,177541,0.3651,1.9046,130400,177541,0.7345
tile_282600_1550600.las,13699,78400,0.1747,25095,4113,0.8592,25095,97757,0.2567,2.2826,82305,97757,0.8419
tile_282600_1550700.las,11288,78400,0.144,22008,2766,0.8884,22008,114814,0.1917,2.5907,105383,114814,0.9179
tile_282600_1550800.las,12073,78400,0.154,25349,2870,0.8983,25349,166682,0.1521,2.834,158478,166682,0.9508
tile_282600_1550900.las,17187,78400,0.2192,41527,5841,0.8767,41527,162978,0.2548,2.4101,131714,162978,0.8082
tile_282600_1551000.las,27242,78400,0.3475,60888,9944,0.8596,60888,116356,0.5233,1.3003,53896,116356,0.4632
tile_282600_1551100.las,30228,78400,0.3856,85598,11067,0.8855,85598,130233,0.6573,0.8678,36699,130233,0.2818
tile_282600_1551200.las,31218,78400,0.3982,105505,13888,0.8837,105505,172551,0.6114,1.0095,45900,172551,0.266
tile_282600_1551300.las,24972,78400,0.3185,69775,10350,0.8708,69775,157730,0.4424,1.849,81867,157730,0.519
tile_282600_1551400.las,13373,78400,0.1706,25508,4801,0.8416,25508,99656,0.256,2.4633,79371,99656,0.7964
tile_282600_1551500.las,12112,78400,0.1545,28557,3295,0.8966,28557,147732,0.1933,2.619,134355,147732,0.9095
tile_282600_1551600.las,13921,78400,0.1776,32386,3939,0.8916,32386,154708,0.2093,2.5645,137081,154708,0.8861
tile_282600_1551700.las,13533,78400,0.1726,29373,3959,0.8812,29373,137957,0.2129,2.524,121229,137957,0.8787
tile_282600_1551800.las,15556,78400,0.1984,29637,3948,0.8824,29637,94251,0.3144,2.0068,79483,94251,0.8433
tile_282600_1551900.las,14088,67200,0.2096,34277,3136,0.9162,34277,118495,0.2893,2.1033,105819,118495,0.893
tile_282700_1550000.las,10603,67200,0.1578,18951,3514,0.8436,18951,115231,0.1645,2.8118,106326,115231,0.9227
tile_282700_1550100.las,14064,78400,0.1794,33636,3492,0.9059,33636,207950,0.1618,2.7538,196927,207950,0.947
tile_282700_1550200.las,16664,78400,0.2126,37299,8441,0.8155,37299,152947,0.2439,2.3651,119384,152947,0.7806
tile_282700_1550300.las,23109,78400,0.2948,50152,11718,0.8106,50152,118255,0.4241,1.5461,65405,118255,0.5531
tile_282700_1550400.las,21967,78400,0.2802,58013,7515,0.8853,58013,161745,0.3587,1.896,119078,161745,0.7362
tile_282700_1550500.las,16177,78400,0.2063,39524,5029,0.8871,39524,189645,0.2084,2.5426,166794,189645,0.8795
tile_282700_1550600.las,9110,78400,0.1162,15228,2612,0.8536,15228,126468,0.1204,3.0674,120889,126468,0.9559
tile_282700_1550700.las,9058,78400,0.1155,14708,2590,0.8503,14708,87592,0.1679,2.7728,79753,87592,0.9105
tile_282700_1550800.las,11232,78400,0.1433,24190,2965,0.8908,24190,150212,0.161,2.7856,140488,150212,0.9353
tile_282700_1550900.las,17621,78400,0.2248,43838,5668,0.8855,43838,168759,0.2598,2.3514,139394,168759,0.826
tile_282700_1551000.las,29492,78400,0.3762,75119,10735,0.875,75119,137051,0.5481,1.218,66573,137051,0.4858
tile_282700_1551100.las,25819,78400,0.3293,58840,11425,0.8374,58840,109660,0.5366,1.2828,35141,109660,0.3205
tile_282700_1551200.las,26033,78400,0.3321,82304,14604,0.8493,82304,163962,0.502,1.6265,51180,163962,0.3121
tile_282700_1551300.las,30655,78400,0.391,88057,12269,0.8777,88057,174154,0.5056,1.4608,87917,174154,0.5048
tile_282700_1551400.las,14949,78400,0.1907,36432,5962,0.8594,36432,122967,0.2963,2.2369,94960,122967,0.7722
tile_282700_1551500.las,15564,78400,0.1985,39152,3480,0.9184,39152,125681,0.3115,2.0511,110973,125681,0.883
tile_282700_1551600.las,23437,78400,0.2989,61343,7003,0.8975,61343,159086,0.3856,1.8334,118698,159086,0.7461
tile_282700_1551700.las,23435,78400,0.2989,60926,9420,0.8661,60926,148170,0.4112,1.7543,95403,148170,0.6439
tile_282700_1551800.las,20317,78400,0.2591,41155,9066,0.8195,41155,99865,0.4121,1.645,61481,99865,0.6156
tile_282700_1551900.las,14357,67200,0.2136,28906,4884,0.8555,28906,108072,0.2675,2.2489,88146,108072,0.8156
tile_282800_1550000.las,10235,67200,0.1523,16173,2803,0.8523,16173,79042,0.2046,2.5334,71793,79042,0.9083
tile_282800_1550100.las,17664,78400,0.2253,41599,5568,0.882,41599,174974,0.2377,2.3963,154294,174974,0.8818
tile_282800_1550200.las,20260,78400,0.2584,53429,8143,0.8677,53429,180623,0.2958,2.1083,146248,180623,0.8097
tile_282800_1550300.las,24100,78400,0.3074,52858,9417,0.8488,52858,124154,0.4257,1.5601,82330,124154,0.6631
tile_282800_1550400.las,20485,78400,0.2613,47133,6321,0.8817,47133,139371,0.3382,1.9222,109524,139371,0.7858
tile_282800_1550500.las,15527,78400,0.198,36517,4755,0.8848,36517,179199,0.2038,2.5839,157822,179199,0.8807
tile_282800_1550600.las,11501,78400,0.1467,23561,3228,0.8795,23561,149609,0.1575,2.8641,138987,149609,0.929
tile_282800_1550700.las,10374,78400,0.1323,16861,2618,0.8656,16861,85923,0.1962,2.5982,77959,85923,0.9073
tile_282800_1550800.las,11490,78400,0.1466,24764,4351,0.8506,24764,121563,0.2037,2.7152,101742,121563,0.8369
tile_282800_1550900.las,18415,78400,0.2349,45635,7488,0.859,45635,170431,0.2678,2.44,130920,170431,0.7682
tile_282800_1551000.las,16983,78400,0.2166,39176,6021,0.8668,39176,152340,0.2572,2.3909,124898,152340,0.8199
