tile,understory_veg_returns,ground_returns,fractional_cover
tile_283700_1551700.las,75417,8916,0.8943
tile_283700_1551800.las,45927,9848,0.8234
tile_283700_1551900.las,29961,9355,0.7621
tile_283800_1550000.las,13379,4063,0.7671
tile_283800_1550100.las,71,243,0.2261
tile_283800_1550200.las,1180,1306,0.4747
tile_283800_1550300.las,20470,7339,0.7361
tile_283800_1550400.las,63725,18419,0.7758
tile_283800_1550500.las,90644,29109,0.7569
tile_283800_1550600.las,85015,23156,0.7859
tile_283800_1550700.las,48945,12194,0.8006
tile_283800_1550800.las,56214,23827,0.7023
tile_283800_1550900.las,95552,26314,0.7841
tile_283800_1551000.las,73974,12866,0.8518
tile_283800_1551100.las,39340,7500,0.8399
tile_283800_1551200.las,60488,11430,0.8411
tile_283800_1551300.las,102720,16964,0.8583
tile_283800_1551400.las,70171,11743,0.8566
tile_283800_1551500.las,52028,11527,0.8186
tile_283800_1551600.las,69333,13160,0.8405
tile_283800_1551700.las,70119,9128,0.8848
tile_283800_1551800.las,72773,10446,0.8745
tile_283800_1551900.las,34903,9672,0.783
tile_283900_1550000.las,22352,5556,0.8009
tile_283900_1550100.las,2119,1272,0.6249
tile_283900_1550200.las,79,417,0.1593
tile_283900_1550300.las,16086,5382,0.7493
tile_283900_1550400.las,37778,15753,0.7057
tile_283900_1550500.las,63684,19582,0.7648
tile_283900_1550600.las,86215,17531,0.831
tile_283900_1550700.las,45091,23106,0.6612
tile_283900_1550800.las,37333,26525,0.5846
tile_283900_1550900.las,72458,24710,0.7457
tile_283900_1551000.las,82782,17254,0.8275
tile_283900_1551100.las,44842,9115,0.8311
tile_283900_1551200.las,51694,10012,0.8377
tile_283900_1551300.las,91070,14395,0.8635
tile_283900_1551400.las,81376,14546,0.8484
tile_283900_1551500.las,62178,12090,0.8372
tile_283900_1551600.las,69823,10105,0.8736
tile_283900_1551700.las,60888,11229,0.8443
tile_283900_1551800.las,70112,10794,0.8666
tile_283900_1551900.las,40346,10626,0.7915
