tile,understory_returns,first_returns,normalized_cover
tile_283700_1551300.las,59330,171330,0.3463
tile_283700_1551400.las,40982,124748,0.3285
tile_283700_1551500.las,46182,112918,0.409
tile_283700_1551600.las,65820,167638,0.3926
tile_283700_1551700.las,75417,168858,0.4466
tile_283700_1551800.las,45927,117199,0.3919
tile_283700_1551900.las,29961,80923,0.3702
tile_283800_1550000.las,13379,23234,0.5758
tile_283800_1550100.las,71,386,0.1839
tile_283800_1550200.las,1180,3153,0.3742
tile_283800_1550300.las,20470,36917,0.5545
tile_283800_1550400.las,63725,113331,0.5623
tile_283800_1550500.las,90644,178684,0.5073
tile_283800_1550600.las,85015,171541,0.4956
tile_283800_1550700.las,48945,123235,0.3972
tile_283800_1550800.las,56214,138945,0.4046
tile_283800_1550900.las,95552,195441,0.4889
tile_283800_1551000.las,73974,149381,0.4952
tile_283800_1551100.las,39340,88880,0.4426
tile_283800_1551200.las,60488,129680,0.4664
tile_283800_1551300.las,102720,184949,0.5554
tile_283800_1551400.las,70171,149620,0.469
tile_283800_1551500.las,52028,116495,0.4466
tile_283800_1551600.las,69333,160120,0.433
tile_283800_1551700.las,70119,161268,0.4348
tile_283800_1551800.las,72773,142478,0.5108
tile_283800_1551900.las,34903,72460,0.4817
tile_283900_1550000.las,22352,37128,0.602
tile_283900_1550100.las,2119,4451,0.4761
tile_283900_1550200.las,79,587,0.1346
tile_283900_1550300.las,16086,28152,0.5714
tile_283900_1550400.las,37778,75312,0.5016
tile_283900_1550500.las,63684,136807,0.4655
tile_283900_1550600.las,86215,168346,0.5121
tile_283900_1550700.las,45091,113985,0.3956
tile_283900_1550800.las,37333,108312,0.3447
tile_283900_1550900.las,72458,155647,0.4655
tile_283900_1551000.las,82782,150273,0.5509
tile_283900_1551100.las,44842,87226,0.5141
tile_283900_1551200.las,51694,94186,0.5489
tile_283900_1551300.las,91070,150351,0.6057
tile_283900_1551400.las,81376,147231,0.5527
tile_283900_1551500.las,62178,118488,0.5248
tile_283900_1551600.las,69823,145122,0.4811
tile_283900_1551700.las,60888,137089,0.4441
tile_283900_1551800.las,70112,132301,0.5299
tile_283900_1551900.las,40346,75750,0.5326
