tile,lad_0.5_3.5m
tile_283500_1550700.las,2.4952
tile_283500_1550800.las,2.6765
tile_283500_1550900.las,3.044
tile_283500_1551000.las,2.5517
tile_283500_1551100.las,2.7034
tile_283500_1551200.las,2.8428
tile_283500_1551300.las,2.6899
tile_283500_1551400.las,2.0642
tile_283500_1551500.las,2.2089
tile_283500_1551600.las,2.7056
tile_283500_1551700.las,2.2419
tile_283500_1551800.las,2.067
tile_283500_1551900.las,1.7703
tile_283600_1550000.las,0.0
tile_283600_1550100.las,0.0
tile_283600_1550200.las,0.0039
tile_283600_1550300.las,0.1994
tile_283600_1550400.las,2.0136
tile_283600_1550500.las,1.534
tile_283600_1550600.las,1.5767
tile_283600_1550700.las,1.468
tile_283600_1550800.las,2.0921
tile_283600_1550900.las,2.1917
tile_283600_1551000.las,2.0606
tile_283600_1551100.las,2.1357
tile_283600_1551200.las,2.42
tile_283600_1551300.las,2.5811
tile_283600_1551400.las,2.347
tile_283600_1551500.las,1.8338
tile_283600_1551600.las,1.9254
tile_283600_1551700.las,1.6387
tile_283600_1551800.las,1.7114
tile_283600_1551900.las,1.394
tile_283700_1550000.las,0.0048
tile_283700_1550100.las,0.0
tile_283700_1550200.las,0.0203
tile_283700_1550300.las,0.2194
tile_283700_1550400.las,1.339
tile_283700_1550500.las,1.3465
tile_283700_1550600.las,1.1086
tile_283700_1550700.las,1.6256
tile_283700_1550800.las,1.3366
tile_283700_1550900.las,1.2311
tile_283700_1551000.las,1.7745
tile_283700_1551100.las,1.752
tile_283700_1551200.las,1.7732
tile_283700_1551300.las,1.9273
tile_283700_1551400.las,1.9447
tile_283700_1551500.las,1.6313
tile_283700_1551600.las,1.7919
tile_283700_1551700.las,1.5942
tile_283700_1551800.las,1.7158
tile_283700_1551900.las,1.833
tile_283800_1550000.las,0.0024
tile_283800_1550100.las,0.0
tile_283800_1550200.las,0.0035
tile_283800_1550300.las,0.0922
tile_283800_1550400.las,0.7152
tile_283800_1550500.las,1.0798
tile_283800_1550600.las,1.2207
tile_283800_1550700.las,1.6347
tile_283800_1550800.las,1.2806
tile_283800_1550900.las,0.767
tile_283800_1551000.las,1.3248
tile_283800_1551100.las,1.5066
tile_283800_1551200.las,1.4349
tile_283800_1551300.las,1.092
tile_283800_1551400.las,1.4342
tile_283800_1551500.las,1.4916
tile_283800_1551600.las,1.6022
tile_283800_1551700.las,1.5804
tile_283800_1551800.las,1.3219
tile_283800_1551900.las,1.3074
tile_283900_1550000.las,0.0046
tile_283900_1550100.las,0.0018
tile_283900_1550200.las,0.0445
tile_283900_1550300.las,0.0908
tile_283900_1550400.las,0.7621
tile_283900_1550500.las,1.4312
tile_283900_1550600.las,1.2137
tile_283900_1550700.las,1.1806
tile_283900_1550800.las,0.7336
tile_283900_1550900.las,0.5071
tile_283900_1551000.las,0.7908
tile_283900_1551100.las,1.1875
tile_283900_1551200.las,1.0365
tile_283900_1551300.las,0.8291
tile_283900_1551400.las,1.0378
tile_283900_1551500.las,1.1843
tile_283900_1551600.las,1.4228
tile_283900_1551700.las,1.5211
tile_283900_1551800.las,1.2246
tile_283900_1551900.las,0.9956
