tile,occupied_voxels,total_voxels,voxel_occupancy_ratio
tile_282500_1551700.las,12110,78400,0.1545
tile_282500_1551800.las,16388,78400,0.209
tile_282500_1551900.las,19903,67200,0.2962
tile_282600_1550000.las,11962,67200,0.178
tile_282600_1550100.las,10503,78400,0.134
tile_282600_1550200.las,16089,78400,0.2052
tile_282600_1550300.las,23207,78400,0.296
tile_282600_1550400.las,25549,78400,0.3259
tile_282600_1550500.las,21856,78400,0.2788
tile_282600_1550600.las,13699,78400,0.1747
tile_282600_1550700.las,11288,78400,0.144
tile_282600_1550800.las,12073,78400,0.154
tile_282600_1550900.las,17187,78400,0.2192
tile_282600_1551000.las,27242,78400,0.3475
tile_282600_1551100.las,30228,78400,0.3856
tile_282600_1551200.las,31218,78400,0.3982
tile_282600_1551300.las,24972,78400,0.3185
tile_282600_1551400.las,13373,78400,0.1706
tile_282600_1551500.las,12112,78400,0.1545
tile_282600_1551600.las,13921,78400,0.1776
tile_282600_1551700.las,13533,78400,0.1726
tile_282600_1551800.las,15556,78400,0.1984
tile_282600_1551900.las,14088,67200,0.2096
tile_282700_1550000.las,10603,67200,0.1578
tile_282700_1550100.las,14064,78400,0.1794
tile_282700_1550200.las,16664,78400,0.2126
tile_282700_1550300.las,23109,78400,0.2948
tile_282700_1550400.las,21967,78400,0.2802
tile_282700_1550500.las,16177,78400,0.2063
tile_282700_1550600.las,9110,78400,0.1162
tile_282700_1550700.las,9058,78400,0.1155
tile_282700_1550800.las,11232,78400,0.1433
tile_282700_1550900.las,17621,78400,0.2248
tile_282700_1551000.las,29492,78400,0.3762
tile_282700_1551100.las,25819,78400,0.3293
tile_282700_1551200.las,26033,78400,0.3321
tile_282700_1551300.las,30655,78400,0.391
tile_282700_1551400.las,14949,78400,0.1907
tile_282700_1551500.las,15564,78400,0.1985
tile_282700_1551600.las,23437,78400,0.2989
tile_282700_1551700.las,23435,78400,0.2989
tile_282700_1551800.las,20317,78400,0.2591
tile_282700_1551900.las,14357,67200,0.2136
tile_282800_1550000.las,10235,67200,0.1523
tile_282800_1550100.las,17664,78400,0.2253
tile_282800_1550200.las,20260,78400,0.2584
tile_282800_1550300.las,24100,78400,0.3074
tile_282800_1550400.las,20485,78400,0.2613
tile_282800_1550500.las,15527,78400,0.198
tile_282800_1550600.las,11501,78400,0.1467
tile_282800_1550700.las,10374,78400,0.1323
tile_282800_1550800.las,11490,78400,0.1466
tile_282800_1550900.las,18415,78400,0.2349
tile_282800_1551000.las,16983,78400,0.2166
tile_282800_1551100.las,18702,78400,0.2385
tile_282800_1551200.las,24621,78400,0.314
tile_282800_1551300.las,25683,78400,0.3276
tile_282800_1551400.las,16211,78400,0.2068
tile_282800_1551500.las,13947,78400,0.1779
tile_282800_1551600.las,18361,78400,0.2342
tile_282800_1551700.las,22811,78400,0.291
tile_282800_1551800.las,20739,78400,0.2645
tile_282800_1551900.las,14587,67200,0.2171
tile_282900_1550000.las,9906,67200,0.1474
tile_282900_1550100.las,14223,78400,0.1814
tile_282900_1550200.las,15406,78400,0.1965
tile_282900_1550300.las,18225,78400,0.2325
tile_282900_1550400.las,18075,78400,0.2305
tile_282900_1550500.las,19237,78400,0.2454
tile_282900_1550600.las,21050,78400,0.2685
tile_282900_1550700.las,11538,78400,0.1472
tile_282900_1550800.las,14446,78400,0.1843
tile_282900_1550900.las,15035,78400,0.1918
tile_282900_1551000.las,12131,78400,0.1547
tile_282900_1551100.las,16191,78400,0.2065
tile_282900_1551200.las,14433,78400,0.1841
tile_282900_1551300.las,16610,78400,0.2119
tile_282900_1551400.las,23695,78400,0.3022
tile_282900_1551500.las,20978,78400,0.2676
tile_282900_1551600.las,22451,78400,0.2864
tile_282900_1551700.las,24847,78400,0.3169
tile_282900_1551800.las,20505,78400,0.2615
tile_282900_1551900.las,14722,67200,0.2191
tile_283000_1550000.las,13654,67200,0.2032
tile_283000_1550100.las,11027,78400,0.1407
tile_283000_1550200.las,12634,78400,0.1611
tile_283000_1550300.las,11423,78400,0.1457
tile_283000_1550400.las,16842,78400,0.2148
tile_283000_1550500.las,21230,78400,0.2708
tile_283000_1550600.las,20080,78400,0.2561
tile_283000_1550700.las,11721,78400,0.1495
tile_283000_1550800.las,11227,78400,0.1432
tile_283000_1550900.las,14351,78400,0.183
tile_283000_1551000.las,20426,78400,0.2605
tile_283000_1551100.las,20451,78400,0.2609
tile_283000_1551200.las,11612,78400,0.1481
