tile,occupied_voxels,total_voxels,voxel_occupancy_ratio,understory_veg_returns,ground_returns,fractional_cover,understory_returns,first_returns,normalized_cover,lad_0.5_3.5m,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh,NDVI_count,NDVI_mean,NDVI_stdev,NDVI_min,NDVI_max
tile_282200_1551400.las,14691,78400,0.1874,32563,4675,0.8745,32563,175930,0.1851,2.7146,160050,175930,0.9097,100.0,0.68028629899025,0.058637272363727,0.534043192863464,0.761610448360443
tile_282200_1551500.las,10155,78400,0.1295,21112,3313,0.8644,21112,176298,0.1198,3.1599,167563,176298,0.9505,100.0,0.638879262208939,0.064293804736962,0.452444344758987,0.751363635063171
tile_282200_1551600.las,11839,78400,0.151,23572,3579,0.8682,23572,121165,0.1945,2.6395,109299,121165,0.9021,100.0,0.58617510676384,0.062105767584508,0.459175586700439,0.705327153205872
tile_282200_1551700.las,13342,78400,0.1702,26611,3665,0.8789,26611,128821,0.2066,2.5444,117326,128821,0.9108,100.0,0.594667804539204,0.066160728530417,0.438598781824112,0.730598449707031
tile_282200_1551800.las,12035,78400,0.1535,24174,3264,0.881,24174,178448,0.1355,2.9799,170671,178448,0.9564,100.0,0.574676455259323,0.077246023674075,0.41966187953949,0.716648876667023
tile_282200_1551900.las,8718,67200,0.1297,16947,2422,0.875,16947,145877,0.1162,3.1182,139648,145877,0.9573,100.0,0.616436350345612,0.019087303150473,0.543866574764252,0.654657363891602
tile_282300_1550000.las,13549,67200,0.2016,32864,5736,0.8514,32864,144238,0.2278,2.607,115238,144238,0.7989,100.0,0.500441171824932,0.053354524414913,0.31554839015007,0.585173785686493
tile_282300_1550100.las,19164,78400,0.2444,43491,12385,0.7783,43491,124101,0.3504,1.9758,65978,124101,0.5316,100.0,0.451927336156368,0.070880858782409,0.300313591957092,0.577475070953369
tile_282300_1550200.las,21131,78400,0.2695,53318,11726,0.8197,53318,139642,0.3818,1.8842,78604,139642,0.5629,100.0,0.470549312829971,0.036787500457868,0.389036893844604,0.570737302303314
tile_282300_1550300.las,19477,78400,0.2484,52027,7020,0.8811,52027,178312,0.2918,2.1822,140850,178312,0.7899,100.0,0.443962568938732,0.038868372996498,0.363525182008743,0.530147731304169
tile_282300_1550400.las,18675,78400,0.2382,47284,5227,0.9005,47284,165727,0.2853,2.1736,138101,165727,0.8333,100.0,0.528990542888641,0.036523606169359,0.457032680511475,0.621869921684265
tile_282300_1550500.las,20625,78400,0.2631,41899,8271,0.8351,41899,104590,0.4006,1.7747,59873,104590,0.5725,100.0,0.52093463242054,0.073321724246211,0.364286512136459,0.661020159721375
tile_282300_1550600.las,26796,78400,0.3418,72049,8480,0.8947,72049,141848,0.5079,1.3942,84916,141848,0.5986,100.0,0.603369994163513,0.075468486160592,0.433372348546982,0.750385701656342
tile_282300_1550700.las,30274,78400,0.3861,89865,11417,0.8873,89865,175249,0.5128,1.4165,93997,175249,0.5364,100.0,0.556212186515331,0.07271921938763,0.427832365036011,0.708779633045197
tile_282300_1550800.las,22459,78400,0.2865,56779,7420,0.8844,56779,160385,0.354,2.0347,116048,160385,0.7236,100.0,0.578634600043297,0.034121776238714,0.424958676099777,0.634162425994873
tile_282300_1550900.las,17051,78400,0.2175,32778,5934,0.8467,32778,106246,0.3085,2.1637,79737,106246,0.7505,100.0,0.573111926913261,0.056582420725122,0.45136559009552,0.734361171722412
tile_282300_1551000.las,22807,78400,0.2909,59554,5667,0.9131,59554,143697,0.4144,1.6886,109946,143697,0.7651,100.0,0.652926854491234,0.051347556841879,0.557045221328735,0.768170416355133
tile_282300_1551100.las,24577,78400,0.3135,68064,5685,0.9229,68064,181032,0.376,1.7778,146193,181032,0.8076,100.0,0.71727141559124,0.028244683424396,0.611971020698547,0.767058491706848
tile_282300_1551200.las,21623,78400,0.2758,57250,4847,0.9219,57250,153491,0.373,1.7974,127550,153491,0.831,100.0,0.70488498032093,0.035321506435522,0.632421553134918,0.75841236114502
tile_282300_1551300.las,19622,78400,0.2503,36794,6855,0.843,36794,92217,0.399,1.7862,60574,92217,0.6569,100.0,0.686065304875374,0.039636208840012,0.607879102230072,0.765430510044098
tile_282300_1551400.las,11362,78400,0.1449,23706,5081,0.8235,23706,152784,0.1552,3.1593,132528,152784,0.8674,100.0,0.68058009237051,0.071791828673372,0.434684604406357,0.764006674289703
tile_282300_1551500.las,6462,78400,0.0824,12148,2278,0.8421,12148,178644,0.068,3.7342,174070,178644,0.9744,100.0,0.725407651662827,0.024655639223399,0.646716356277466,0.763254225254059
tile_282300_1551600.las,7468,78400,0.0953,14464,2395,0.8579,14464,141655,0.1021,3.2771,136152,141655,0.9612,100.0,0.704669578075409,0.033583705675793,0.605407893657684,0.764248728752136
tile_282300_1551700.las,11620,78400,0.1482,21453,3019,0.8766,21453,107862,0.1989,2.563,99085,107862,0.9186,100.0,0.715960419774055,0.021281376187649,0.629580557346344,0.756226062774658
tile_282300_1551800.las,13053,78400,0.1665,27778,3093,0.8998,27778,153266,0.1812,2.6265,144267,153266,0.9413,100.0,0.674021075963974,0.034063908006939,0.528825581073761,0.722646057605743
tile_282300_1551900.las,8954,67200,0.1332,19545,2022,0.9062,19545,139130,0.1405,2.9077,132569,139130,0.9528,100.0,0.670364894866943,0.04215129726698,0.542411863803864,0.764846384525299
tile_282400_1550000.las,16987,67200,0.2528,46292,8006,0.8526,46292,144454,0.3205,2.2788,96186,144454,0.6659,100.0,0.501828448474407,0.053442382230983,0.35881170630455,0.588475108146667
tile_282400_1550100.las,19296,78400,0.2461,47796,10785,0.8159,47796,136565,0.35,2.1722,77044,136565,0.5642,100.0,0.48313866019249,0.076377340658512,0.345616012811661,0.591523587703705
tile_282400_1550200.las,19771,78400,0.2522,42856,11478,0.7888,42856,113617,0.3772,1.9369,58090,113617,0.5113,100.0,0.444768743515015,0.047264980416564,0.35846534371376,0.569619357585907
tile_282400_1550300.las,17136,78400,0.2186,43928,6216,0.876,43928,175459,0.2504,2.3355,146596,175459,0.8355,100.0,0.551855909526348,0.052469746533126,0.406451642513275,0.629225075244904
tile_282400_1550400.las,21381,78400,0.2727,62837,6661,0.9042,62837,192321,0.3267,2.0156,152590,192321,0.7934,100.0,0.539789057672024,0.038059279245525,0.447811424732208,0.609564065933228
tile_282400_1550500.las,21531,78400,0.2746,55340,7083,0.8865,55340,136385,0.4058,1.7096,95224,136385,0.6982,100.0,0.589902378618717,0.059795742102251,0.439379572868347,0.723613619804382
tile_282400_1550600.las,20185,78400,0.2575,41627,6637,0.8625,41627,108769,0.3827,1.7452,79942,108769,0.735,100.0,0.706278399825096,0.028345828459209,0.615293681621552,0.752390801906586
tile_282400_1550700.las,20737,78400,0.2645,53142,7880,0.8709,53142,172435,0.3082,2.1091,134379,172435,0.7793,100.0,0.676255407333374,0.048394000153882,0.588729023933411,0.774495720863342
tile_282400_1550800.las,17170,78400,0.219,42248,5709,0.881,42248,173556,0.2434,2.5268,143529,173556,0.827,100.0,0.661692047715187,0.054582864623675,0.541065573692322,0.754272103309631
tile_282400_1550900.las,16933,78400,0.216,34979,5026,0.8744,34979,130782,0.2675,2.323,108553,130782,0.83,100.0,0.718185808062553,0.033629790189409,0.599265277385712,0.769265532493591
tile_282400_1551000.las,21421,78400,0.2732,49154,5733,0.8955,49154,121212,0.4055,1.7041,90533,121212,0.7469,100.0,0.697917595505714,0.036765460711996,0.600419580936432,0.76584380865097
tile_282400_1551100.las,24410,78400,0.3114,67549,6190,0.9161,67549,177307,0.381,1.7766,139471,177307,0.7866,100.0,0.678354638814926,0.036310466959727,0.573906421661377,0.739218354225159
tile_282400_1551200.las,19617,78400,0.2502,56735,4869,0.921,56735,175054,0.3241,2.0707,143190,175054,0.818,100.0,0.63077405154705,0.050711266827701,0.49606254696846,0.748849093914032
